Temperature,Clearsky DHI,Clearsky DNI,Relative Humidity,Wind Speed,DNI,Cloud Type,Clearsky GHI,DHI,GHI,Solar Zenith Angle
5.9,82,687,54.56,0.6,687,0,290,82,290,72.37
9,104,839,45.42,1.2,839,1,498,104,498,62.01
11.5,117,903,40.54,1.6,903,0,653,117,653,53.6
12.7,132,918,36.91,1.3,918,0,744,132,744,48.19
13.5,134,924,34.22,1.1,924,0,767,134,767,46.84
14,131,907,32.01,1.2,907,0,715,131,715,49.88
14.1,117,869,30.99,1.5,869,0,596,117,596,56.62
13.3,101,771,32.09,1.4,771,0,416,101,416,65.91
11.1,72,563,36.88,1.2,563,0,201,72,201,76.81
9,15,47,42.91,1.3,47,0,16,15,16,88.49
7.8,0,0,47.33,1.4,0,0,0,0,0,101.43
6.8,0,0,51.73,1.4,0,0,0,0,0,114.44
5.9,0,0,56.13,1.4,0,0,0,0,0,127.72
5.2,0,0,60.06,1.4,0,0,0,0,0,141.14
4.6,0,0,63.67,1.5,0,0,0,0,0,154.56
4,0,0,67.44,1.4,0,4,0,0,0,167.54
3.5,0,0,70.88,1.4,0,0,0,0,0,173.64
3.2,0,0,73.49,1.4,0,0,0,0,0,162.57
2.6,0,0,78.08,1.4,0,0,0,0,0,149.3
2.5,0,0,80.17,1.4,0,0,0,0,0,135.85
2.5,0,0,81.86,1.3,0,0,0,0,0,122.46
2.7,0,0,82.01,1.1,0,0,0,0,0,109.26
3.2,0,0,80.09,0.8,0,0,0,0,0,96.38
4.4,50,147,73.97,0.6,147,0,66,50,66,83.85
6.3,115,503,64.91,0.6,503,0,268,115,268,72.3
9.4,150,678,52.55,0.5,678,0,469,150,469,61.91
12.5,169,766,43.48,0.3,285,7,624,270,440,53.46
14.1,183,799,38.04,0.4,370,7,718,295,543,48
14.9,183,808,35.04,0.8,300,7,738,323,528,46.63
15.4,175,793,32.78,1.2,793,0,688,175,688,49.67
15.4,163,731,31.76,1.5,167,2,568,258,350,56.41
14.5,135,623,33,1.4,623,0,392,135,392,65.71
12.6,92,406,37.18,1.1,406,1,186,92,186,76.63
10.8,13,10,42.26,1.2,10,7,13,13,13,88.35
9.9,0,0,45.36,1.2,0,7,0,0,0,101.28
9.2,0,0,48.28,1.2,0,1,0,0,0,114.3
8.5,0,0,51.64,1.3,0,0,0,0,0,127.59
7.9,0,0,55.06,1.3,0,4,0,0,0,141.01
7.4,0,0,58.21,1.3,0,0,0,0,0,154.43
6.9,0,0,61.25,1.3,0,4,0,0,0,167.37
